,grid_topology,pv_penetration,hp_penetration,ev_penetration,lem_with_lem,average_energy_price_with_lem,avg_share_balancing_energy_with_lem,avg_normalized_market_energy_with_lem,avg_ratio_gen_dem_with_lem,avg_ratio_hp_hh_with_lem,avg_ratio_pv_hp_with_lem,peak_power_with_lem,season_with_lem,max_loads_with_lem,grid_topology_without_lem,lem_without_lem,average_energy_price_without_lem,avg_share_balancing_energy_without_lem,avg_normalized_market_energy_without_lem,avg_ratio_gen_dem_without_lem,avg_ratio_hp_hh_without_lem,avg_ratio_pv_hp_without_lem,peak_power_without_lem,season_without_lem,max_loads_without_lem,average_energy_price_ratio,peak_power_ratio,max_loads_ratio
81,Rural,0.75,0.25,0.25,True,0.2088,0.1976,0.4208,1.4222,0.4019,10.0476,291.908,summer,201.02,Rural,False,0.2465,0.0,0.3937,1.594,0.4006,28.3713,258.228,summer,237.93,0.8470588235294119,1.1304273742584072,0.844870340015971
82,Rural,0.75,0.25,0.5,True,0.207,0.1839,0.4198,1.3257,0.4032,10.0454,297.088,summer,198.97,Rural,False,0.2476,0.0,0.3972,1.5276,0.4006,28.3713,258.228,summer,237.12,0.8360258481421647,1.1504871663800982,0.8391109986504723
83,Rural,0.75,0.25,0.75,True,0.2023,0.1666,0.4205,1.2399,0.4027,9.9837,369.94,summer,208.1,Rural,False,0.2446,0.0,0.3933,1.4502,0.4006,28.3713,258.228,summer,235.4,0.8270645952575634,1.432609941601995,0.8840271877655055
84,Rural,0.75,0.25,1.0,True,0.2055,0.1534,0.4402,1.2092,0.4036,9.9043,308.516,summer,202.76,Rural,False,0.2487,0.0,0.4015,1.4042,0.4006,28.3713,258.228,summer,233.51,0.8262967430639324,1.1947426305435507,0.8683139908355102
85,Rural,0.75,0.5,0.0,True,0.2073,0.1738,0.4542,1.3226,0.881,5.2534,294.368,summer,197.6,Rural,False,0.2521,0.0,0.457,1.5038,0.8936,16.4734,257.208,summer,238.04,0.8222927409758033,1.1444745109016825,0.8301125861199798
86,Rural,0.75,0.5,0.25,True,0.2085,0.1693,0.463,1.2772,0.8789,5.4285,256.80800000000005,summer,198.29,Rural,False,0.2533,0.0,0.4611,1.4453,0.8951,16.5286,258.068,summer,237.5,0.8231346229767074,0.9951175659128604,0.8349052631578947
87,Rural,0.75,0.5,0.5,True,0.2091,0.1636,0.4742,1.2178,0.8757,5.5842,266.984,summer,194.29,Rural,False,0.2549,0.0,0.4662,1.3944,0.8951,16.5286,258.068,summer,236.54,0.8203216947822676,1.0345490335880465,0.8213832755559314
88,Rural,0.75,0.5,0.75,True,0.2061,0.1501,0.4728,1.1411,0.8738,5.6234,305.456,transition,197.6,Rural,False,0.252,0.0,0.4622,1.3282,0.8951,16.5286,258.068,summer,235.09,0.8178571428571428,1.183626021048716,0.8405291590454719
89,Rural,0.75,0.5,1.0,True,0.2086,0.1408,0.4918,1.1133,0.872,5.6433,328.16,summer,203.24,Rural,False,0.2557,0.0,0.4704,1.2865,0.8951,16.5286,258.068,summer,233.2,0.8157997653500196,1.2716028333617497,0.8715265866209263
90,Rural,0.75,0.75,0.0,True,0.2052,0.1488,0.489,1.1912,1.3087,3.6031,-323.76,winter,220.91,Rural,False,0.2524,0.0,0.5032,1.3651,1.3388,11.2524,-307.056,winter,249.77,0.8129952456418383,1.054400500234485,0.8844536974016094
91,Rural,0.75,0.75,0.25,True,0.2052,0.1447,0.4998,1.1523,1.3093,3.6793,-327.344,winter,216.03,Rural,False,0.2535,0.0,0.5068,1.3152,1.3374,11.2912,-296.644,winter,249.37,0.8094674556213017,1.1034910532490123,0.8663030837711032
